name,location,node_type
Soltauer Straße (Kurzentrum),POINT(10.402205 53.24137),['Station']
St.-Stephanus-Platz,POINT(10.434883 53.238447),['Station']
Wallstraße (Theater),POINT(10.40771 53.245718),['Station']
Steinweg,POINT(10.387929 53.229793),['Station']
Sternkamp,POINT(10.405522 53.267167),['Station']
Stöteroggestraße (Süd),POINT(10.402054 53.255543),['Station']
Sültenweg,POINT(10.393082 53.244137),['Station']
Schulzentrum Oedeme,POINT(10.385674 53.233234),['Station']
Theodor-Haubach-Straße,POINT(10.442699 53.234372),['Station']
Theodor-Heuss-Straße,POINT(10.432742 53.246093),['Station']
Thorner Platz,POINT(10.399625 53.259616),['Station']
Thorner Straße (West),POINT(10.39441 53.258715),['Station']
K31,POINT(9.760324 53.401497),['Station']
Ohlenbütteler Stadtweg,POINT(9.771791 53.405404),['Station']
Am Hügel,POINT(9.781463 53.406401),['Station']
Am Kirchenwald,POINT(9.787636 53.406019),['Station']
Henningstraße,POINT(10.423412 53.252522),['Station']
Herderschule,POINT(10.39174 53.255871),['Station']
Schwinger Tannen,POINT(9.385309 53.569289),['Station']
Am Wischfeld,POINT(10.388288 53.211286),['Station']
Lahmsbeck,POINT(9.574898 53.481785),['Station']
Ortsmitte,POINT(9.418151 53.440611),['Station']
Sinnenweg,POINT(10.113602 53.42257),['Station']
Rosenweide 10,POINT(10.122448 53.420852),['Station']
Alte Eichen,POINT(9.601494 53.483469),['Station']
Denkmal,POINT(9.706663 53.28169),['Station']
Schulzentrum,POINT(9.710831 53.27179),['Station']
Am Sande,POINT(9.712894 53.281357),['Station']
GS Poststraße,POINT(9.717294 53.279084),['Station']
Krummer Weg,POINT(10.260511 53.407262),['Station']
Bf. Tostedt,POINT(9.73039 53.271618),['Station']
Schule,POINT(10.272098 53.418075),['Station']
Schwinger Baum,POINT(9.34932 53.550469),['Station']
Königsdamm,POINT(9.421304 53.479344),['Station']
Wilhelm-Weber-Straße,POINT(9.978001 53.473422),['Station']
Westbahnhof,POINT(9.699487 53.280196),['Station']
Barmstedter Straße 30,POINT(9.727475 53.835476),['Station']
Altendeich (Ost),POINT(9.627332 53.751468),['Station']
Hainholzer Damm (Nord),POINT(9.671965 53.745017),['Station']
Schlottweg,POINT(9.68161 53.799564),['Station']
Langelner Heidkaten,POINT(9.879266 53.807755),['Station']
Helmstorfer Straße,POINT(9.988168 53.375602),['Station']
Ringstraße,POINT(9.990112 53.374543),['Station']
Mühlenweg,POINT(9.975735 53.336545),['Station']
Dornbusch,POINT(9.670046 53.740643),['Station']
Heidmühlenweg,POINT(9.658158 53.735426),['Station']
Bf. Elmshorn (Holstenplatz),POINT(9.658198 53.754492),['Station']
Rutenbeck,POINT(9.55331 53.464222),['Station']
Abzweigung Egestorf,POINT(10.019333 53.257932),['Station']
Hansenbarg,POINT(10.008623 53.272733),['Station']
Hingstkamp,POINT(10.010262 53.26597),['Station']
Im Bultmoor,POINT(10.012209 53.260832),['Station']
Kirche,POINT(10.012446 53.258161),['Station']
Wildpark Lüneburger Heide,POINT(10.045195 53.23571),['Station']
Im Auetal,POINT(10.024201 53.235901),['Station']
Ollsener Weg,POINT(10.022852 53.22956),['Station']
"Ollsen, Ponyhof",POINT(10.009026 53.220503),['Station']
Abzweig Weißenfelde,POINT(9.529809 53.4234),['Station']
Kammerbuscherweg,POINT(9.53579 53.419375),['Station']
Auebrücke,POINT(9.513201 53.425827),['Station']
Abzweig Hahnenbalken,POINT(9.544983 53.462993),['Station']
Heisterstroot,POINT(9.508512 53.443845),['Station']
Grundschule Feldbusch,POINT(9.521579 53.452711),['Station']
Hoopweg,POINT(9.514607 53.44629),['Station']
Klosterstraße,POINT(9.507497 53.454649),['Station']
Weißenfelder Straße,POINT(9.509514 53.448306),['Station']
Weißenfelde,POINT(9.539562 53.44166),['Station']
Bf. Holm-Seppensen,POINT(9.871204 53.28575),['Station']
Kleiberweg,POINT(9.871374 53.284553),['Station']
Grundschule,POINT(9.873994 53.282845),['Station']
Holm-Seppensen (Süd),POINT(9.875851 53.276918),['Station']
Abzweigung Wörme,POINT(9.878318 53.269244),['Station']
Inzmühlener Straße,POINT(9.882813 53.265563),['Station']
Machangelweg,POINT(9.870392 53.291542),['Station']
Tiedemannsweg,POINT(9.872124 53.280855),['Station']
Eidigweg,POINT(9.868603 53.286137),['Station']
Höhenweg,POINT(9.546017 53.408726),['Station']
Apensener Straße 105,POINT(9.656602 53.458397),['Station']
Kindergarten,POINT(9.549483 53.412754),['Station']
Ruschwedeler Straße,POINT(9.567439 53.455628),['Station']
Apensener Straße 198,POINT(9.646604 53.45235),['Station']
Am Bahnhof Ottensen,POINT(9.646349 53.452433),['Station']
Bf. Apensen,POINT(9.610255 53.441076),['Station']
Hellwege-Allee,POINT(9.515926 53.457021),['Station']
Fischerhof,POINT(9.60887 53.49044),['Station']
Dorfplatz,POINT(10.362961 53.897838),['Station']
Neuengörser Straße,POINT(10.364616 53.898663),['Station']
Brunskamp,POINT(9.909467 53.810199),['Station']
Buschweg,POINT(9.916493 53.801016),['Station']
Ortsmitte,POINT(9.803515 53.309525),['Station']
Bürgermeister-Kröger-Straße,POINT(9.822314 53.309549),['Station']
Schule,POINT(9.812559 53.308601),['Station']
Rudolf-Steiner-Schule,POINT(9.75554 53.305481),['Station']
Kinderheim,POINT(9.754805 53.305467),['Station']
Bachstraße,POINT(9.76532 53.307081),['Station']
Denkmal,POINT(9.773532 53.31161),['Station']
Lange Straße,POINT(9.757079 53.305974),['Station']
Weddelbrooker Straße,POINT(9.883233 53.901735),['Station']
Julius-Leber-Straße,POINT(10.326815 53.928109),['Station']
Kreishaus,POINT(10.304158 53.936337),['Station']
Liliencronweg,POINT(10.291651 53.931728),['Station']
Lübecker Landstraße,POINT(10.323945 53.931708),['Station']
Mühlenberg,POINT(10.294611 53.936835),['Station']
Gustav-Böhm-Siedlung,POINT(10.290022 53.933704),['Station']
Propsteialtenheim,POINT(10.295008 53.931449),['Station']
Rathaus,POINT(10.314017 53.936535),['Station']
