name,description,tags,node_type,location,centroid
"Holztechnik, Farbtechnik, Raumgestaltung, Textil u. Bekleidung G6 - Staatl. Gewerbeschule",,,['POI'],POINT(10.034515 53.573232),
"Informations- u. Elektrotechnik, Chemie- u. Automatisierungst. G 18 - Staatl. Gewerbeschule",,,['POI'],POINT(10.000464 53.499985),
Installationstechnik G2 - Staatl. Gewerbeschule,,,['POI'],POINT(9.974729 53.569089),
Kellinghusenstraße H13 - Staatl. Handelsschule,,,['POI'],POINT(9.991707 53.590191),
Kieler Straße H19 - Staatl. Handelsschule mit Wirtschaftsgymnasium,,,['POI'],POINT(9.945253 53.565211),
Kraftfahrzeugtechnik G9 - Staatl. Gewerbeschule,,,['POI'],POINT(10.046929 53.554507),
Lola Rogge Schule,,,['POI'],POINT(10.036127 53.563236),
Metalltechnik G17 - Staatl. Gewerbeschule mit Techn. Gymnasium,,,['POI'],POINT(10.00071 53.50019),
Schlankreye H3 - Staatl. Handelsschule mit Wirtschaftsgymnasium,,,['POI'],POINT(9.970753 53.572788),
School of Life Science (Berufsfachschule für biologisch technische Assistenz),,,['POI'],POINT(9.932284 53.598639),
Schule für Gesundheitsberufe (SfG) im HSB e.V.,,,['POI'],POINT(10.021945 53.614745),
Schulungszentrum für Altenpflege,,,['POI'],POINT(10.073062 53.574654),
Sozialpädagogik Harburg W5 - Staatl. Schule,,,['POI'],POINT(9.963918 53.465404),
Sozialpädagogik-Altona FSP II - Staatl. Fachschule,,,['POI'],POINT(9.944908 53.556489),
Sozialpädagogik-Wagnerstraße FSP I - Staatl. Fachschule,,,['POI'],POINT(10.038982 53.571334),
St. Pauli - Staatliche Handelsschule mit Wirtschaftsgymnasium,,,['POI'],POINT(9.964591 53.555406),
Staatl. anerkannte Berufsfachschule f. med. Kosmetik Pieper,,,['POI'],POINT(9.817277 53.56442),
Staatliche Fremdsprachenschule H15,,,['POI'],POINT(9.993361 53.573806),
Stahl- und Maschinenbau G1 - Staatl. Gewerbeschule,,,['POI'],POINT(10.032512 53.557957),
Stahl- und Metallbau (Berufsschule),,,['POI'],POINT(10.032512 53.557957),
Technische Fachschule Heinze für technisches Zeichnen und Bauzeichnen,,,['POI'],POINT(10.023577 53.602852),
Uferstraße - W2 - Berufliche Schule,,,['POI'],POINT(10.039169 53.570973),
"Verkehrstechnik, Arbeitstechnik, Ernährung G20 - Staal. Gewerbeschule",,,['POI'],POINT(10.182715 53.495301),
Weidenstieg H5 - Staatl. Handelsschule mit Wirtschaftsgymnasium,,,['POI'],POINT(9.962795 53.570013),
Wendenstraße H9 - Staatl. Handelsschule mit Wirtschaftsgymnasium,,,['POI'],POINT(10.033714 53.549078),
Werft und Hafen G7 - Staatl. Gewerbeschule,,,['POI'],POINT(9.964056 53.552481),
Werft- und Hafen (Berufsschule),,,['POI'],POINT(9.964056 53.552481),
team.arbeit.hamburg - Job-Center Eimsbüttel,,,['POI'],POINT(9.964897 53.584759),
team.arbeit.hamburg - Job-Center Harburg,,,['POI'],POINT(9.98064 53.465735),
team.arbeit.hamburg - Job-Center Lokstedt,,,['POI'],POINT(9.947542 53.595338),
team.arbeit.hamburg - Job-Center Mitte,,,['POI'],POINT(10.016046 53.550325),
team.arbeit.hamburg - Job-Center Mümmelmannsberg,,,['POI'],POINT(10.148596 53.528602),
team.arbeit.hamburg - Job-Center Nord,,,['POI'],POINT(10.011653 53.648797),
