name,description,tags,node_type,location,centroid
Jugendtreff Triangel,,"['community_centre', 'youth_centre', 'Mehr Platz für Kinder e.V.', 'civic']",['POI'],POINT(10.14812805 53.58389379999999),
Vereinshaus Im Bauernfelde,,"['community_centre', 'Kleingartenverein 761 Im Bauernfelde e.V. von 1953', 'civic']",['POI'],POINT(9.999265999999999 53.48606304999999),
Jugendclub Eimsbüttel,,"['community_centre', 'youth_club', 'Bezirksamt Hamburg-Eimsbüttel', 'civic', 'public']",['POI'],POINT(9.957487314013955 53.571545525115205),
Polizeikommissariat 21,,"['police', 'Polizei Hamburg', 'civic', 'Polizeikommissariat 21']",['POI'],POINT(9.945457849927969 53.54973804297313),
Freiwillige Feuerwehr Lohbrügge,,"['fire_station', 'public']",['POI'],POINT(10.206269533166434 53.495350464529665),
Gemeindezentrum Reiherstieg-Kirchengemeinde,"Räumlichkeiten der Reiherstiegkirchengemeinde inkl. Kirchenbüro, Jugendraum u.a.","['community_centre', 'parish_hall', 'civic']",['POI'],POINT(9.990149145963702 53.51433589714979),
Kleingartenverein 767 Süderelbe e.V.,,"['community_centre', 'civic']",['POI'],POINT(9.999382999407825 53.47760563339922),
Davidwache,,"['police', 'Polizei Hamburg', 'civic', 'Polizeikommissariat 15', 'attraction']",['POI'],POINT(9.962753102236526 53.54887674664391),
Wasserrettungszentrum Außenalster,,['civic'],['POI'],POINT(10.001416935070356 53.56763769598505),
Vereinsbüro Kleingartenverein Bauernweg,,"['association', 'community_centre', 'club_home', 'civic']",['POI'],POINT(9.942198308719012 53.47193288371846),
Kubus,,['civic'],['POI'],POINT(9.944070474161961 53.558177524466295),
Rettungswache Allermöhe,,"['Feuerwehr Hamburg', 'civic']",['POI'],POINT(10.11387615998331 53.488833572530716),
Vereinshaus KGV 720 Steinwerder,,"['community_centre', 'club_home', 'Kleingartenverein Steinwerder e.V.', 'civic']",['POI'],POINT(9.997723402504484 53.48943256832522),
Jugendclub im Quartier,,"['community_centre', 'youth_centre', 'Bezirksamt Bergedorf', 'civic', 'public']",['POI'],POINT(10.20924302357226 53.485069528987125),
Vereinshaus Klgv Niedergeorgswerder von 1921,,"['community_centre', 'club_home', 'civic']",['POI'],POINT(10.021900303265271 53.513099748233394),
Jugendzentrum Horner Geest,,"['community_centre', 'youth_centre', 'Jugendzentrum Horner Geest e.V.', 'civic']",['POI'],POINT(10.109478869436767 53.557922918673114),
De Stuuv,,"['community_centre', 'community_hall', 'DRK gemeinnützige Gesellschaft für Pädagogik Hamburg-Harburg mbH', 'civic']",['POI'],POINT(9.815762669325393 53.47062399901996),
Schulärztlicher Dienst Eimsbüttel (Grindelberg) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.979213 53.575001),
Schulärztlicher Dienst Eimsbüttel (Lohkampstr) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.901422 53.609155),
Amt für Immissionsschutz und Betriebe,,,['POI'],POINT(10.004024 53.497556),
Behörde für Stadtentwicklung und Wohnen,,,['POI'],POINT(10.004187 53.497465),
"Behörde für Umwelt, Klima Energie und Agrarwirtschaft",,,['POI'],POINT(10.004217 53.497465),
Behörde für Wirtschaft und Innovation,,,['POI'],POINT(9.983989 53.550549),
Referat Außenwirtschaft,,,['POI'],POINT(9.983685 53.550434),
Agentur für Arbeit Altona,,,['POI'],POINT(9.943907 53.565788),
Agentur für Arbeit Eimsbüttel,,,['POI'],POINT(9.957572 53.569363),
Agentur für Arbeit Hamburg-Mitte,,,['POI'],POINT(10.016151 53.550288),
Agentur für Arbeit Hamburg-Nord,,,['POI'],POINT(10.012973 53.641382),
Agentur für Arbeit Harburg,,,['POI'],POINT(9.978567 53.460712),
Agentur für Arbeit Wandsbek,,,['POI'],POINT(10.060656 53.567567),
team.arbeit.hamburg - Job-Center Altona,,,['POI'],POINT(9.907828 53.555644),
team.arbeit.hamburg - Job-Center Barmbek,,,['POI'],POINT(10.030778 53.571647),
team.arbeit.hamburg - Job-Center Bergedorf,,,['POI'],POINT(10.208387 53.491935),
team.arbeit.hamburg - Job-Center Billstedt,,,['POI'],POINT(10.101053 53.539886),
team.arbeit.hamburg - Job-Center Bramfeld,,,['POI'],POINT(10.053515 53.589977),
team.arbeit.hamburg - Job-Center Eimsbüttel,,,['POI'],POINT(9.964897 53.584759),
team.arbeit.hamburg - Job-Center Harburg,,,['POI'],POINT(9.98064 53.465735),
team.arbeit.hamburg - Job-Center Lokstedt,,,['POI'],POINT(9.947542 53.595338),
team.arbeit.hamburg - Job-Center Mitte,,,['POI'],POINT(10.016046 53.550325),
team.arbeit.hamburg - Job-Center Mümmelmannsberg,,,['POI'],POINT(10.148596 53.528602),
team.arbeit.hamburg - Job-Center Nord,,,['POI'],POINT(10.011653 53.648797),
team.arbeit.hamburg - Job-Center Osdorf,,,['POI'],POINT(9.8502 53.587211),
team.arbeit.hamburg - Job-Center Rahlstedt,,,['POI'],POINT(10.182973 53.634826),
team.arbeit.hamburg - Job-Center St.Pauli,,,['POI'],POINT(9.961241 53.551417),
team.arbeit.hamburg - Job-Center Süderelbe,,,['POI'],POINT(9.85293 53.469349),
team.arbeit.hamburg - Job-Center Wandsbek,,,['POI'],POINT(10.099698 53.588806),
team.arbeit.hamburg - Job-Center Wilhelmsburg,,,['POI'],POINT(9.99687 53.499036),
team.arbeit.hamburg - Job-Center für Personen ohne festen Wohnsitz und Haftentlassene,,,['POI'],POINT(9.998605 53.548442),
team.arbeit.hamburg - Job-Center für schwerbehinderte Menschen,,,['POI'],POINT(9.949523 53.562445),
team.arbeit.hamburg - Zentrale,,,['POI'],POINT(10.000995 53.553822),
Bezirksamt Altona,,,['POI'],POINT(9.935586 53.547118),
Bezirksamt Bergedorf,,,['POI'],POINT(10.220398 53.487293),
Bezirksamt Eimsbüttel,,,['POI'],POINT(9.979144 53.575298),
Bezirksamt Hamburg-Mitte,,,['POI'],POINT(9.984663 53.554245),
Bezirksamt Hamburg-Nord Kundenzentrum,,,['POI'],POINT(9.983471 53.589352),
Bezirksamt Harburg (Harburger Rathausplatz),,,['POI'],POINT(9.979792 53.459632),
Bezirksamt Wandsbek,,,['POI'],POINT(10.070949 53.571699),
Bundesamt für Migration und Flüchtlinge,,,['POI'],POINT(10.027129 53.545693),
Bundesamt für Seeschifffahrt und Hydrographie,,,['POI'],POINT(9.965579 53.547123),
Bundesanstalt für Landwirtschaft und Ernährung,,,['POI'],POINT(9.945647 53.560562),
Bundesanstalt für Wasserbau,,,['POI'],POINT(9.762132 53.581425),
Deutscher Wetterdienst,,,['POI'],POINT(9.966732 53.546745),
Eichdirektion Nord - Dienststelle Hamburg,,,['POI'],POINT(10.02364 53.550512),
"Institut für Holzforschung, Johann Heinrich von Thünen-Institut",,,['POI'],POINT(10.201642 53.504924),
"Johann Heinrich von Thünen Institut, Bundesforschungsinstitut für Ländliche Räume, Wald und Fischerei",,,['POI'],POINT(9.9433 53.545953),
Seewetteramt,,,['POI'],POINT(9.966722 53.546952),
Senatskoordinatorin fuer die Gleichstellung behinderter Menschen,,,['POI'],POINT(10.035741 53.584462),
Adoptionsvermittlungsstelle Hamburg,,,['POI'],POINT(10.016422 53.591781),
Elternschule Altona - Bezirksamt Altona,,,['POI'],POINT(9.946836 53.557022),
Elternschule Barmbek (Alter Teichweg) - Bezirksamt Hamburg-Nord,,,['POI'],POINT(10.06999 53.587521),
Elternschule Bergedorf-West (Friedrich-Frank-Bogen) - Bezirksamt Bergedorf,,,['POI'],POINT(10.181553 53.488735),
Elternschule Billstedt (Lorenzenweg ) - Bezirksamt Hamburg-Mitte,,,['POI'],POINT(10.104892 53.541306),
Elternschule Eidelstedt (Alte Elbgaustraße) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.90321 53.607299),
Elternschule Eimsbüttel (Doormannsweg 12) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.957423 53.572087),
Elternschule Eimsbüttel (Oberstraße) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.98059 53.577083),
Elternschule Farmsen-Berne(Bekassinenau) - Bezirksamt Wandsbek,,,['POI'],POINT(10.134592 53.620693),
Elternschule Finkenwerder - Bezirksamt Hamburg-Mitte,,,['POI'],POINT(9.876482 53.532085),
Elternschule Harburg(Kapellenweg) - Bezirksamt Harburg,,,['POI'],POINT(9.98767 53.444903),
Elternschule Hohenhorst(Potsdamer Straße) - Bezirksamt Wandsbek,,,['POI'],POINT(10.150914 53.58402),
Elternschule Horner Geest(Spliedtring) - Bezirksamt Hamburg-Mitte,,,['POI'],POINT(10.111996 53.562554),
Elternschule Jenfeld (Charlottenburger Str.) - Bezirksamt Wandsbek,,,['POI'],POINT(10.141791 53.586732),
Elternschule Kirchdorf-Süd(Karl-Arnold-Ring) - Bezirksamt Harburg,,,['POI'],POINT(10.020014 53.483826),
Elternschule Langenhorn(Holitzberg) - Bezirksamt Hamburg-Nord,,,['POI'],POINT(10.024298 53.673192),
Elternschule Lohbrügge(Max-Eichholz-Ring) - Bezirksamt Bergedorf,,,['POI'],POINT(10.216823 53.506604),
Elternschule Mümmelmannsberg(Kirchnerweg) - Bezirksamt Hamburg-Mitte,,,['POI'],POINT(10.147783 53.530892),
Elternschule Niendorf (Friedrich-Ebert-Str.) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.946626 53.619875),
Elternschule Rothenburgsort /Veddel(Marckmannstr.) - Bezirksamt Hamburg-Mitte,,,['POI'],POINT(10.039564 53.535971),
Elternschule Steilshoop (Gropiusring) - Bezirksamt Wandsbek,,,['POI'],POINT(10.057561 53.613474),
Elternschule Süderelbe (Rehrstieg) - Bezirksamt Harburg,,,['POI'],POINT(9.874056 53.478765),
Elternschule Wilhelmsburg (Zeidlerstraße) - Bezirksamt Hamburg-Mitte,,,['POI'],POINT(9.994818 53.510474),
Erziehungsberatung Altona (Osdorfer Landstr) - Bezirksamt Altona,,,['POI'],POINT(9.864745 53.571831),
Erziehungsberatung Altona Altstadt (Virchowstraße) - Bezirksamt Altona,,,['POI'],POINT(9.948071 53.552852),
Erziehungsberatung Barmbek-Uhlenhorst (Mühlendamm) - Bezirksamt Hamburg-Nord,,,['POI'],POINT(10.025311 53.560337),
Erziehungsberatung Dulsberg (Elsässer Str) - Bezirksamt Hamburg-Nord,,,['POI'],POINT(10.064339 53.579593),
Erziehungsberatung Eimsbüttel (Kieler Str) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.940087 53.57456),
Erziehungsberatung Fuhlsbüttel (Fuhlsbütteler Damm) - Bezirksamt Hamburg-Nord,,,['POI'],POINT(10.022664 53.625737),
Erziehungsberatung Hamburg-Nord (Lattenkamp) - Bezirksamt Hamburg-Nord,,,['POI'],POINT(9.995425 53.598678),
Erziehungsberatung Harburg (Hermann-Maul-Str) - Bezirksamt Harburg,,,['POI'],POINT(9.980857 53.462759),
Erziehungsberatung Neu-Allermöhe (Oberer Landweg) - Bezirksamt Bergedorf,,,['POI'],POINT(10.185586 53.486422),
Erziehungsberatung Niendorf (Friedrich-Ebert-Str) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.944457 53.620207),
Erziehungsberatung Rahlstedt (Amtstr) - Bezirksamt Wandsbek,,,['POI'],POINT(10.159087 53.602344),
Erziehungsberatung Schnelsen (Graf-Johann-Weg) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.917758 53.62533),
Erziehungsberatung Steilshoop (Gropiusring) - Bezirksamt Wandsbek,,,['POI'],POINT(10.057561 53.613474),
Erziehungsberatung Wandsbek (Bovestr) - Bezirksamt Wandsbek,,,['POI'],POINT(10.083807 53.569786),
Erziehungsberatung Wilhelmsburg (Vogelhüttendeich) - Bezirksamt Harburg,,,['POI'],POINT(9.985026 53.517905),
Mütterberatungsstelle Altona Altstadt (Scheplerstr) - Bezirksamt Altona,,,['POI'],POINT(9.954154 53.554996),
Mütterberatungsstelle Bahrenfeld (Norburger Stieg) - Bezirksamt Altona,,,['POI'],POINT(9.910676 53.566692),
Mütterberatungsstelle Bergedorf (Lamprechtstr) - Bezirksamt Bergedorf,,,['POI'],POINT(10.219933 53.489454),
Mütterberatungsstelle Billstedt (Dringsheide) - Bezirksamt Hamburg-Mitte,,,['POI'],POINT(10.119851 53.561663),
Mütterberatungsstelle Billstedt (Schleemer Weg) - Bezirksamt Hamburg-Mi,,,['POI'],POINT(10.112767 53.537909),
Mütterberatungsstelle Billstedt (Spliedtring) - Bezirksamt Hamburg-Mitte,,,['POI'],POINT(10.112126 53.562328),
Mütterberatungsstelle Blankenese (Sülldorfer Kirchenweg) - Bezirksamt Altona,,,['POI'],POINT(9.812675 53.563697),
Mütterberatungsstelle Bramfeld (Herthastr) - Bezirksamt Wandsbek,,,['POI'],POINT(10.074895 53.611774),
Mütterberatungsstelle Eidelstedt (Lohkampstr) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.901422 53.609155),
Mütterberatungsstelle Eimsbüttel (Grindelberg) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.978994 53.575308),
Mütterberatungsstelle Farmsen-Berne (Berner Heerweg) - Bezirksamt Wandsbek,,,['POI'],POINT(10.121592 53.60749),
Mütterberatungsstelle Finkenwerder (Norderschulweg) - Bezirksamt Hamburg-Mitte,,,['POI'],POINT(9.876529 53.532174),
Mütterberatungsstelle Harburg (Am Irrgarten) - Bezirksamt Harburg,,,['POI'],POINT(9.971149 53.459622),
Mütterberatungsstelle Harburg (Kapellenweg) - Bezirksamt Harburg,,,['POI'],POINT(9.987926 53.444928),
Mütterberatungsstelle Harburg (Lühmannstr) - Bezirksamt Harburg,,,['POI'],POINT(9.953322 53.457573),
Mütterberatungsstelle Harburg (Ohrnsweg) - Bezirksamt Harburg,,,['POI'],POINT(9.817161 53.471495),
Mütterberatungsstelle Hohenhorst (Dahlemer Ring) - Bezirksamt Wandsbek,,,['POI'],POINT(10.141901 53.585742),
Mütterberatungsstelle Lokstedt (Garstedter Weg) - Bezirksamt Eimsbüttel,,,['POI'],POINT(9.954058 53.621721),
Mütterberatungsstelle Lurup (Netzestr) - Bezirksamt Altona,,,['POI'],POINT(9.867022 53.605653),
Mütterberatungsstelle Meiendorf/Oldenfelde (Hermann-Balk-Str) - Bezirksamt Wandsbek,,,['POI'],POINT(10.144061 53.618725),
Mütterberatungsstelle Osdorf (Kroonhorst) - Bezirksamt Altona,,,['POI'],POINT(9.850422 53.58924),
